Peso (kg),Altura (cm),Longitud pie,Circunferencia cabeza,
70,160,26.0,60.0,
67,152,21.0,55.0,
61,160,22.0,55.0,
83,165,23.0,59.0,
66,165,26.0,55.0,
84,180,29.0,61.0,
63,157,25.0,56.0,
66,175,29.0,59.5,
65,167,25.0,57.0,
55,170,25.0,57.0,
48,152,23.0,56.0,
55,150,33.0,56.0,
63,144,23.0,55.0,
88,178,29.0,63.0,
79,181,27.0,57.0,
58,165,24.0,56.0,
48,150,23.0,57.0,
85,179,29.0,45.0,
60,149,23.0,48.2,
78,179,25.5,44.5,
98,150,24.0,60.0,
60,170,26.0,54.0,
47,160,24.5,52.0,
69,170,28.8,60.0,
56,170,25.0,54.0,
50,160,24.5,55.0,
47,160,25.0,54.0,
48,155,24.5,55.0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
